time,415,445,480,515,555,590,630,680,Clear,NIR,Heartrate,Oxygen,R,Confidence
86914,146,141,161,310,412,991,3192,3148,4500,531,0,0,0.00,0
178711,146,141,161,307,403,979,3178,3146,4500,525,0,0,0.00,0
266601,145,140,159,303,402,976,3173,3135,4500,527,0,0,0.00,0
354492,145,139,159,303,403,979,3174,3141,4500,527,0,0,0.00,0
442382,145,139,159,303,404,979,3172,3138,4500,546,0,0,0.00,0
530273,145,139,159,303,406,981,3190,3170,4500,570,0,0,0.00,0
612304,147,142,161,306,406,983,3183,3143,4500,529,0,0,0.00,0
699218,146,141,161,308,411,989,3204,3178,4500,549,0,0,0.00,0
791015,145,140,160,308,415,994,3211,3181,4500,573,0,0,0.00,0
874023,147,142,162,312,411,985,3181,3146,4500,526,0,0,0.00,0
961914,144,139,159,306,406,980,3173,3135,4500,566,0,0,0.00,0
1049804,145,140,159,305,406,979,3188,3169,4500,528,0,0,0.00,0
1132812,146,142,161,308,406,979,3172,3133,4500,527,0,0,0.00,0
1220703,145,140,159,306,410,980,3187,3167,4500,568,0,0,0.00,0
1308593,146,141,161,308,409,981,3181,3152,4500,529,0,0,0.00,0
1391601,146,141,161,309,412,987,3187,3147,4500,529,0,0,0.00,0
1483398,146,141,160,311,415,994,3196,3154,4500,529,0,0,0.00,0
1570312,146,141,162,313,421,998,3225,3194,4500,577,0,0,0.00,0
1653320,149,143,163,316,422,1005,3229,3177,4500,534,0,0,0.00,0
1740234,148,143,163,317,429,1012,3254,3213,4500,586,0,0,0.00,0
1827148,150,144,164,320,423,1001,3215,3167,4500,530,0,0,0.00,0
1910156,146,141,161,312,416,991,3202,3159,4500,528,0,0,0.00,0
1998047,148,143,162,312,414,987,3197,3159,4500,530,0,0,0.00,0
2085937,146,141,161,309,411,985,3193,3154,4500,527,0,0,0.00,0
2177734,146,142,161,309,407,980,3189,3151,4500,530,0,0,0.00,0
2264648,145,140,160,307,408,983,3190,3152,4500,531,0,0,0.00,0
2351562,145,140,160,308,411,985,3191,3151,4500,552,0,0,0.00,0
2439453,146,142,161,310,412,988,3208,3176,4500,533,0,0,0.00,0
2527343,146,141,161,311,413,989,3199,3145,4500,536,0,0,0.00,0
2610351,146,140,161,309,411,984,3189,3140,4500,533,0,0,0.00,0
2698242,146,141,162,309,409,981,3186,3134,4500,536,0,0,0.00,0
2785156,146,139,160,307,408,974,3177,3127,4500,537,0,0,0.00,0
2872070,144,139,160,304,401,946,3125,3089,4500,531,0,0,0.00,0
2959961,142,135,156,292,386,916,3086,3084,4500,550,0,0,0.00,0
3046875,141,136,154,286,377,905,3060,3052,4500,521,0,0,0.00,0
3128906,139,135,153,283,377,911,3072,3065,4500,517,0,0,0.00,0
3215820,141,136,154,284,377,922,3098,3087,4500,519,0,0,0.00,0
3303711,142,137,155,287,382,944,3140,3117,4500,521,0,0,0.00,0
3387695,143,139,157,293,392,963,3171,3136,4500,526,0,0,0.00,0
3475586,144,139,158,298,399,974,3188,3144,4500,528,0,0,0.00,0
3566406,146,141,160,304,405,984,3199,3153,4500,527,0,0,0.00,0
3649414,147,141,160,307,412,993,3210,3159,4500,529,0,0,0.00,0
3737304,148,142,162,312,416,999,3213,3162,4500,530,0,0,0.00,0
3825195,147,142,162,315,422,1009,3226,3165,4500,532,0,0,0.00,0
3907226,146,142,162,317,422,997,3195,3146,4500,526,0,0,0.00,0
3995117,146,140,160,313,415,986,3179,3140,4500,521,0,0,0.00,0
4083007,146,140,160,312,416,987,3180,3142,4500,528,0,0,0.00,0
4166015,145,140,160,312,420,989,3193,3170,4500,569,0,0,0.00,0
4257812,146,141,161,314,417,984,3174,3138,4500,524,0,0,0.00,0
4345703,145,140,160,312,415,978,3161,3128,4500,523,0,0,0.00,0
4433593,144,139,160,313,419,983,3164,3131,4500,525,0,0,0.00,0
4521484,145,140,159,314,422,985,3161,3130,4500,567,0,0,0.00,0
4609375,145,141,161,317,424,986,3176,3158,4500,528,0,0,0.00,0
4697265,145,141,161,318,426,990,3171,3132,4500,528,0,0,0.00,0
4785156,145,139,160,318,420,974,3129,3106,4500,519,0,0,0.00,0
4867187,144,138,158,310,415,960,3118,3100,4500,518,0,0,0.00,0
4958984,145,139,159,310,415,961,3132,3127,4500,519,0,0,0.00,0
5046875,145,139,158,309,413,959,3112,3097,4500,520,0,0,0.00,0
5129882,142,138,158,308,412,956,3110,3093,4500,520,0,0,0.00,0
5217773,144,139,159,309,413,961,3115,3093,4500,518,0,0,0.00,0
5305664,143,138,158,309,415,970,3125,3094,4500,520,0,0,0.00,0
5388672,144,138,159,313,419,980,3141,3100,4500,522,0,0,0.00,0
5476562,145,139,160,314,418,977,3139,3104,4500,523,0,0,0.00,0
5564453,143,138,159,310,418,976,3148,3115,4500,528,0,0,0.00,0
5651367,145,139,159,311,415,970,3152,3127,4500,525,0,0,0.00,0
5739257,143,139,159,306,406,958,3155,3153,4500,527,0,0,0.00,0
5827148,145,140,159,304,404,961,3162,3135,4500,534,0,0,0.00,0
5909179,145,139,159,302,404,958,3163,3130,4500,536,0,0,0.00,0
5997070,145,138,159,301,396,939,3131,3104,4500,533,0,0,0.00,0
6084961,143,137,156,295,390,935,3129,3110,4500,531,0,0,0.00,0
6172851,145,139,158,299,403,977,3206,3163,4500,545,0,0,0.00,0
6260742,148,142,162,306,414,996,3244,3209,4500,582,0,0,0.00,0
6348632,150,144,164,315,424,1008,3253,3208,4500,543,0,0,0.00,0
6440429,148,142,163,319,433,1010,3247,3216,4500,585,0,0,0.00,0
6528320,151,146,167,327,442,1023,3242,3194,4500,541,0,0,0.00,0
6616211,150,144,165,330,445,1025,3248,3187,4500,544,0,0,0.00,0
6704101,149,144,166,332,437,1019,3239,3171,4500,540,0,0,0.00,0
6791015,146,140,161,316,425,1014,3234,3168,4500,587,0,0,0.00,0
6874023,149,144,165,319,428,1029,3265,3199,4500,546,0,0,0.00,0
6961914,148,143,164,321,433,1041,3267,3176,4500,593,0,0,0.00,0
7048828,151,145,167,324,433,1041,3283,3212,4500,544,0,0,0.00,0
7135742,147,141,162,317,429,1036,3283,3220,4500,592,0,0,0.00,0
7223632,146,141,162,316,424,1020,3262,3189,4500,546,0,0,0.00,0
7311523,148,142,163,316,422,1006,3246,3180,4500,596,0,0,0.00,0
7395507,150,144,164,316,419,1006,3250,3205,4500,593,0,0,0.00,0
7483398,149,144,164,316,422,1015,3258,3188,4500,550,0,0,0.00,0
7571289,149,144,165,319,425,1020,3264,3188,4500,591,0,0,0.00,0
7654297,147,143,164,319,427,1012,3252,3198,4500,553,0,0,0.00,0
7742187,144,138,160,310,412,981,3178,3128,4500,573,0,0,0.00,0
7833984,146,141,161,306,408,987,3201,3148,4500,535,0,0,0.00,0
7916992,146,141,160,307,411,994,3213,3155,4500,578,0,0,0.00,0
8004882,148,141,162,310,410,992,3213,3157,4500,529,0,0,0.00,0
8092773,145,139,159,307,411,995,3218,3162,4500,537,0,0,0.00,0
8180664,146,141,161,309,418,1001,3241,3198,4500,594,0,0,0.00,0
8268554,150,146,166,315,417,1002,3235,3171,4500,537,0,0,0.00,0
8356445,147,141,161,313,420,1009,3242,3179,4500,540,0,0,0.00,0
8443359,148,142,163,317,426,1019,3255,3180,4500,545,0,0,0.00,0
8534179,151,145,166,323,428,1016,3237,3168,4500,540,0,0,0.00,0
8618164,146,140,161,315,419,1000,3203,3144,4500,533,0,0,0.00,0
8705078,145,140,160,312,416,994,3198,3138,4500,531,0,0,0.00,0
87891,139,134,152,286,388,943,3126,3105,4500,564,0,0,0.00,0
179687,143,138,156,295,395,957,3146,3115,4500,529,0,0,0.00,0
266601,144,140,159,299,395,954,3129,3103,4500,555,0,0,0.00,0
354492,140,135,152,289,381,926,3080,3072,4500,511,0,0,0.00,0
442383,140,137,153,286,378,920,3072,3064,4500,515,0,0,0.00,0
534180,143,138,155,287,378,915,3066,3060,4500,503,0,0,0.00,0
617187,137,133,150,283,380,915,3063,3059,4500,510,0,0,0.00,0
705078,138,134,151,284,381,921,3081,3089,4500,514,0,0,0.00,0
792969,141,136,154,289,386,929,3086,3075,4500,521,0,0,0.00,0
875976,143,137,156,292,390,935,3094,3082,4500,517,0,0,0.00,0
963867,145,140,157,296,394,944,3106,3089,4500,520,0,0,0.00,0
1051758,142,137,156,296,394,945,3111,3086,4500,515,0,0,0.00,0
1134766,139,134,152,291,385,922,3064,3057,4500,513,0,0,0.00,0
1226562,139,135,152,286,384,919,3076,3085,4500,560,0,0,0.00,0
1314453,143,138,156,289,384,921,3073,3065,4500,513,0,0,0.00,0
1397461,141,135,154,289,383,924,3079,3066,4500,510,0,0,0.00,0
1485351,141,136,155,291,386,932,3096,3098,4500,507,0,0,0.00,0
1573242,140,136,154,293,392,944,3106,3081,4500,515,0,0,0.00,0
1656250,142,137,155,297,400,957,3125,3094,4500,529,0,0,0.00,0
1743164,144,140,159,303,406,968,3139,3102,4500,531,0,0,0.00,0
1831055,146,141,159,307,410,977,3152,3111,4500,528,0,0,0.00,0
1922851,142,137,157,306,406,969,3127,3091,4500,521,0,0,0.00,0
2011719,142,137,157,303,405,965,3124,3093,4500,531,0,0,0.00,0
2099609,145,140,159,306,403,967,3134,3092,4500,516,0,0,0.00,0
2187500,141,136,156,304,406,974,3137,3100,4500,564,0,0,0.00,0
2275391,145,138,158,307,411,978,3160,3134,4500,526,0,0,0.00,0
2362305,145,140,159,310,416,988,3161,3112,4500,535,0,0,0.00,0
2450195,147,142,162,315,416,991,3168,3114,4500,521,0,0,0.00,0
2537109,142,138,158,313,424,1003,3184,3124,4500,570,0,0,0.00,0
2624023,146,140,162,318,429,1014,3196,3131,4500,542,0,0,0.00,0
2711914,146,140,162,321,428,1005,3176,3116,4500,537,0,0,0.00,0
2799805,147,141,163,318,420,998,3174,3111,4500,522,0,0,0.00,0
2882812,143,138,159,315,425,1010,3187,3122,4500,571,0,0,0.00,0
2970703,144,139,160,318,426,1013,3192,3125,4500,528,0,0,0.00,0
3059570,145,140,162,319,428,1016,3199,3129,4500,535,0,0,0.00,0
3142578,147,143,164,323,434,1026,3216,3139,4500,584,0,0,0.00,0
3230469,147,142,164,325,436,1030,3221,3144,4500,545,0,0,0.00,0
3322266,145,140,161,326,440,1037,3232,3152,4500,539,0,0,0.00,0
3405273,149,142,164,331,444,1043,3243,3158,4500,543,0,0,0.00,0
3493164,148,143,165,332,439,1032,3213,3134,4500,540,0,0,0.00,0
3581055,147,142,164,327,437,1029,3221,3137,4500,544,0,0,0.00,0
3663086,148,143,165,328,434,1030,3225,3141,4500,530,0,0,0.00,0
3750976,149,144,167,330,436,1033,3224,3146,4500,531,0,0,0.00,0
3838867,145,139,162,325,436,1037,3231,3149,4500,538,0,0,0.00,0
3925781,147,142,164,328,442,1041,3252,3185,4500,592,0,0,0.00,0
4017578,151,145,168,332,439,1042,3244,3155,4500,582,0,0,0.00,0
4105469,145,141,163,329,444,1046,3265,3192,4500,592,0,0,0.00,0
4193359,149,144,166,332,436,1033,3224,3139,4500,545,0,0,0.00,0
4281250,147,142,164,325,432,1026,3223,3141,4500,547,0,0,0.00,0
4369141,148,142,165,324,428,1027,3228,3146,4500,534,0,0,0.00,0
4457031,146,140,162,321,430,1029,3229,3146,4500,590,0,0,0.00,0
4543945,147,143,164,323,432,1030,3241,3172,4500,548,0,0,0.00,0
4626953,149,144,165,324,429,1031,3234,3148,4500,542,0,0,0.00,0
4720703,148,141,164,323,428,1031,3240,3152,4500,541,0,0,0.00,0
4807617,146,141,163,323,432,1035,3244,3152,4500,547,0,0,0.00,0
4890625,148,142,165,327,433,1031,3239,3166,4500,571,0,0,0.00,0
4978516,146,141,162,318,420,1013,3199,3123,4500,545,0,0,0.00,0
5067383,148,142,164,315,413,1009,3198,3120,4500,575,0,0,0.00,0
5149414,144,139,160,311,412,1006,3212,3149,4500,535,0,0,0.00,0
5237305,145,140,160,310,409,1002,3193,3120,4500,576,0,0,0.00,0
5326172,144,139,160,309,409,1004,3209,3149,4500,579,0,0,0.00,0
5418945,147,142,163,311,405,1003,3197,3124,4500,527,0,0,0.00,0
5507812,143,138,159,307,410,1006,3204,3130,4500,581,0,0,0.00,0
5595703,146,141,162,311,413,1007,3215,3155,4500,592,0,0,0.00,0
5683594,147,142,163,309,397,982,3162,3098,4500,526,0,0,0.00,0
5771484,143,137,157,298,391,977,3160,3099,4500,526,0,0,0.00,0
5860351,144,138,157,297,392,977,3161,3099,4500,534,0,0,0.00,0
5948242,145,138,158,297,391,975,3155,3095,4500,535,0,0,0.00,0
6037109,145,139,158,297,389,972,3157,3096,4500,568,0,0,0.00,0
6128906,143,138,157,296,392,975,3161,3102,4500,537,0,0,0.00,0
6216797,145,140,159,299,394,977,3164,3105,4500,573,0,0,0.00,0
6304687,143,138,157,298,393,977,3169,3122,4500,530,0,0,0.00,0
6387695,141,136,156,295,385,955,3121,3065,4500,525,0,0,0.00,0
6475586,140,135,153,288,379,949,3124,3090,4500,569,0,0,0.00,0
6562500,142,137,156,289,379,943,3106,3063,4500,533,0,0,0.00,0
6644531,143,137,156,288,375,935,3093,3055,4500,523,0,0,0.00,0
6732422,142,136,155,286,375,934,3096,3056,4500,529,0,0,0.00,0
6824219,139,134,153,284,377,939,3119,3093,4500,527,0,0,0.00,0
6907226,142,136,155,288,383,952,3123,3070,4500,536,0,0,0.00,0
6995117,143,137,157,293,387,959,3142,3098,4500,536,0,0,0.00,0
7083984,145,140,159,297,387,958,3131,3085,4500,528,0,0,0.00,0
7167969,140,135,154,290,379,945,3100,3048,4500,523,0,0,0.00,0
7255859,139,134,153,287,383,947,3118,3083,4500,571,0,0,0.00,0
7344726,142,136,156,291,383,950,3126,3095,4500,537,0,0,0.00,0
7432617,143,137,157,292,385,956,3126,3072,4500,530,0,0,0.00,0
7524414,141,136,155,292,389,968,3157,3110,4500,532,0,0,0.00,0
7612305,144,138,158,297,393,974,3151,3087,4500,538,0,0,0.00,0
7700195,144,139,160,300,394,978,3156,3088,4500,535,0,0,0.00,0
7788086,143,138,158,301,393,974,3149,3082,4500,526,0,0,0.00,0
7875976,142,136,156,297,393,968,3153,3111,4500,574,0,0,0.00,0
7963867,145,139,158,298,393,973,3157,3100,4500,539,0,0,0.00,0
8052734,146,140,161,301,389,971,3152,3093,4500,523,0,0,0.00,0
8136719,141,135,155,296,393,973,3149,3091,4500,534,0,0,0.00,0
8225586,141,137,156,296,394,972,3165,3125,4500,579,0,0,0.00,0
8317383,146,140,160,299,394,975,3166,3108,4500,533,0,0,0.00,0
8401367,144,138,158,298,397,983,3186,3135,4500,580,0,0,0.00,0
8489258,144,138,158,300,395,979,3167,3110,4500,531,0,0,0.00,0
8578125,142,138,157,297,390,969,3159,3105,4500,535,0,0,0.00,0
8661133,144,140,159,297,393,978,3173,3116,4500,581,0,0,0.00,0
8748047,144,139,159,298,396,984,3183,3123,4500,541,0,0,0.00,0
87891,148,142,163,307,403,994,3208,3147,4500,558,0,0,0.00,0
180664,144,137,158,300,393,977,3165,3095,4500,537,0,0,0.00,0
272461,146,141,161,299,387,974,3163,3095,4500,531,0,0,0.00,0
355469,142,136,157,295,390,971,3162,3097,4500,538,0,0,0.00,0
443359,142,138,157,296,388,969,3158,3094,4500,531,0,0,0.00,0
531250,142,138,158,296,390,973,3159,3091,4500,538,0,0,0.00,0
614258,144,138,159,297,395,973,3170,3107,4500,595,0,0,0.00,0
702148,143,138,159,298,395,976,3162,3096,4500,549,0,0,0.00,0
790039,147,141,161,301,391,968,3147,3080,4500,576,0,0,0.00,0
873047,140,135,155,293,386,957,3138,3094,4500,579,0,0,0.00,0
965820,142,137,158,292,384,953,3127,3069,4500,539,0,0,0.00,0
1053711,142,138,158,293,386,951,3118,3061,4500,538,0,0,0.00,0
1141601,142,138,157,291,378,939,3102,3046,4500,526,0,0,0.00,0
1230469,139,133,153,287,380,941,3103,3049,4500,532,0,0,0.00,0
1318359,141,136,156,290,385,948,3125,3085,4500,586,0,0,0.00,0
1406250,145,140,160,295,383,944,3110,3056,4500,530,0,0,0.00,0
1493164,140,135,155,290,381,938,3091,3038,4500,529,0,0,0.00,0
1581055,140,135,153,286,377,930,3083,3036,4500,531,0,0,0.00,0
1673828,141,136,157,287,374,918,3060,3016,4500,520,0,0,0.00,0
1760742,137,132,151,281,374,917,3054,3011,4500,531,0,0,0.00,0
1843750,138,132,152,282,376,913,3050,3023,4500,571,0,0,0.00,0
1931641,138,132,153,281,372,909,3026,2984,4500,527,0,0,0.00,0
2019531,139,133,154,283,377,917,3051,3000,4500,581,0,0,0.00,0
2102539,144,137,159,290,381,924,3075,3034,4500,527,0,0,0.00,0
2189453,142,136,157,290,378,911,3033,2989,4500,545,0,0,0.00,0
2277344,139,132,154,283,374,902,3037,3012,4500,528,0,0,0.00,0
2364258,139,132,154,281,374,901,3023,2984,4500,577,0,0,0.00,0
2452148,139,132,154,280,372,899,3024,2983,4500,533,0,0,0.00,0
2540039,140,134,155,279,366,894,3024,2992,4500,521,0,0,0.00,0
2627930,138,132,152,277,371,907,3060,3037,4500,573,0,0,0.00,0
2715820,140,135,155,282,373,910,3056,3017,4500,530,0,0,0.00,0
2803711,140,135,155,283,375,915,3059,3022,4500,536,0,0,0.00,0
2891601,141,136,156,283,368,908,3059,3026,4500,521,0,0,0.00,0
2979492,137,132,152,279,374,916,3066,3028,4500,574,0,0,0.00,0
3071289,140,135,155,285,377,918,3048,3005,4500,530,0,0,0.00,0
3159180,140,134,155,285,375,917,3053,3008,4500,567,0,0,0.00,0
3247070,138,133,153,284,380,925,3073,3045,4500,533,0,0,0.00,0
3333984,141,135,156,287,381,933,3083,3033,4500,539,0,0,0.00,0
3421875,143,137,158,291,386,940,3093,3039,4500,536,0,0,0.00,0
3509766,141,136,157,290,381,929,3071,3019,4500,555,0,0,0.00,0
3593750,138,134,154,288,384,934,3086,3048,4500,578,0,0,0.00,0
3681641,139,133,154,287,382,924,3055,3001,4500,529,0,0,0.00,0
3774414,143,137,158,291,380,917,3049,3007,4500,525,0,0,0.00,0
3857422,138,132,153,285,381,921,3060,3017,4500,529,0,0,0.00,0
3945312,140,135,156,288,381,922,3064,3017,4500,531,0,0,0.00,0
4033203,139,135,155,288,384,921,3066,3021,4500,534,0,0,0.00,0
4121094,141,135,157,290,387,920,3052,3010,4500,544,0,0,0.00,0
4208984,141,136,157,289,380,912,3046,3011,4500,571,0,0,0.00,0
4296875,138,134,154,286,382,921,3078,3054,4500,537,0,0,0.00,0
4384766,141,138,158,292,386,930,3085,3041,4500,539,0,0,0.00,0
4472656,142,137,158,294,390,934,3093,3044,4500,543,0,0,0.00,0
4565430,141,136,157,295,393,939,3095,3043,4500,540,0,0,0.00,0
4653320,142,136,158,296,396,943,3096,3039,4500,548,0,0,0.00,0
4741211,143,138,160,300,396,942,3091,3033,4500,539,0,0,0.00,0
4825195,139,134,156,297,394,930,3062,3013,4500,534,0,0,0.00,0
4912109,138,133,154,293,390,924,3059,3015,4500,532,0,0,0.00,0
4999023,140,134,155,293,392,929,3066,3022,4500,562,0,0,0.00,0
5086914,141,136,157,296,395,932,3087,3056,4500,544,0,0,0.00,0
5174805,143,138,160,298,393,931,3073,3026,4500,533,0,0,0.00,0
5267578,142,137,158,298,397,937,3093,3061,4500,584,0,0,0.00,0
5350586,144,139,160,302,401,943,3094,3043,4500,548,0,0,0.00,0
5437500,142,136,159,302,408,953,3118,3077,4500,596,0,0,0.00,0
5526367,146,141,163,308,404,947,3113,3071,4500,535,0,0,0.00,0
5608398,139,135,157,301,400,936,3072,3025,4500,540,0,0,0.00,0
5695312,140,136,157,299,397,933,3078,3037,4500,534,0,0,0.00,0
5783203,140,135,156,299,399,937,3078,3032,4500,539,0,0,0.00,0
5865234,141,137,157,301,403,937,3076,3031,4500,546,0,0,0.00,0
5958008,142,138,159,303,403,939,3090,3064,4500,582,0,0,0.00,0
6045898,141,137,159,302,403,938,3081,3036,4500,537,0,0,0.00,0
6133789,141,136,158,304,407,945,3093,3042,4500,540,0,0,0.00,0
6220703,143,137,160,306,411,955,3107,3054,4500,549,0,0,0.00,0
6308594,145,140,162,311,414,968,3138,3085,4500,589,0,0,0.00,0
6396484,143,140,161,315,423,986,3173,3118,4500,548,0,0,0.00,0
6484375,145,141,162,316,420,985,3155,3090,4500,545,0,0,0.00,0
6571289,146,140,162,317,424,994,3170,3102,4500,552,0,0,0.00,0
6664062,144,139,161,317,424,997,3177,3107,4500,546,0,0,0.00,0
6751953,145,141,163,321,428,1002,3180,3110,4500,547,0,0,0.00,0
6834961,145,142,164,323,434,1009,3196,3119,4500,562,0,0,0.00,0
6922851,146,143,165,326,438,1019,3208,3122,4500,556,0,0,0.00,0
7010742,148,143,166,330,437,1021,3209,3127,4500,541,0,0,0.00,0
7093750,144,140,163,330,447,1028,3224,3135,4500,600,0,0,0.00,0
7181641,144,141,165,333,449,1034,3232,3140,4500,555,0,0,0.00,0
7270508,148,143,167,339,456,1044,3243,3145,4500,562,0,0,0.00,0
7358398,147,143,167,340,458,1049,3247,3149,4500,552,0,0,0.00,0
7446289,149,146,170,345,461,1055,3268,3186,4500,555,0,0,0.00,0
7534180,148,144,168,344,457,1037,3213,3123,4500,552,0,0,0.00,0
7622070,148,143,166,337,449,1025,3204,3122,4500,555,0,0,0.00,0
7709961,149,145,168,337,445,1020,3200,3117,4500,543,0,0,0.00,0
7797851,144,141,164,333,446,1021,3212,3144,4500,594,0,0,0.00,0
7885742,147,143,166,334,444,1015,3192,3116,4500,549,0,0,0.00,0
7973633,147,143,166,334,446,1020,3199,3120,4500,555,0,0,0.00,0
8066406,145,141,165,333,448,1021,3217,3152,4500,551,0,0,0.00,0
8154297,147,143,166,334,450,1025,3206,3124,4500,557,0,0,0.00,0
8242187,149,145,168,338,448,1022,3204,3125,4500,550,0,0,0.00,0
8330078,147,142,165,335,448,1019,3203,3122,4500,547,0,0,0.00,0
8417969,146,141,165,335,451,1021,3219,3155,4500,603,0,0,0.00,0
8505859,147,144,168,336,452,1020,3212,3132,4500,560,0,0,0.00,0
8588867,149,145,168,336,441,996,3160,3094,4500,543,0,0,0.00,0
8676758,147,143,165,328,431,982,3152,3109,4500,541,0,0,0.00,0
8769531,143,139,162,321,427,978,3138,3081,4500,555,0,0,0.00,0
88867,142,137,160,313,419,951,3096,3069,4500,589,0,0,0.00,0
180664,140,135,156,309,413,939,3073,3035,4500,578,0,0,0.00,0
269532,141,137,158,310,417,942,3091,3066,4500,585,0,0,0.00,0
357422,144,139,161,313,419,946,3097,3073,4500,538,0,0,0.00,0
445313,142,138,160,313,416,948,3089,3049,4500,532,0,0,0.00,0
529297,140,136,158,313,420,950,3095,3048,4500,539,0,0,0.00,0
617188,141,138,160,315,422,954,3106,3054,4500,539,0,0,0.00,0
708985,144,140,162,319,426,964,3131,3092,4500,585,0,0,0.00,0
791992,143,139,162,320,428,970,3127,3069,4500,538,0,0,0.00,0
879883,141,138,160,319,422,954,3099,3058,4500,579,0,0,0.00,0
967774,141,137,158,311,415,939,3085,3063,4500,536,0,0,0.00,0
1050782,141,137,159,311,417,940,3074,3037,4500,540,0,0,0.00,0
1138672,140,137,158,310,418,938,3080,3060,4500,584,0,0,0.00,0
1225586,144,140,161,311,409,929,3055,3025,4500,528,0,0,0.00,0
1313477,140,135,157,306,409,927,3059,3027,4500,530,0,0,0.00,0
1406250,142,138,159,310,415,936,3068,3037,4500,542,0,0,0.00,0
1494141,143,139,160,312,414,937,3072,3038,4500,527,0,0,0.00,0
1582032,138,135,157,310,419,942,3078,3040,4500,534,0,0,0.00,0
1669922,141,137,160,313,423,948,3089,3049,4500,583,0,0,0.00,0
1758789,143,140,163,317,424,954,3105,3080,4500,584,0,0,0.00,0
1846680,143,139,161,318,424,951,3094,3051,4500,533,0,0,0.00,0
1935547,140,136,158,314,415,930,3050,3022,4500,533,0,0,0.00,0
2019532,140,136,157,307,411,923,3041,3019,4500,532,0,0,0.00,0
2111328,142,137,159,309,409,921,3041,3013,4500,523,0,0,0.00,0
2199219,137,133,154,304,411,919,3044,3038,4500,569,0,0,0.00,0
2282227,140,137,158,306,410,918,3041,3035,4500,535,0,0,0.00,0
2370117,139,136,156,306,412,919,3034,3016,4500,575,0,0,0.00,0
2458008,141,137,158,309,414,925,3056,3047,4500,534,0,0,0.00,0
2540039,141,138,159,311,412,923,3044,3020,4500,525,0,0,0.00,0
2626953,143,139,160,313,415,928,3062,3053,4500,527,0,0,0.00,0
2714844,140,135,157,311,418,932,3060,3030,4500,531,0,0,0.00,0
2806641,142,139,160,315,424,940,3069,3035,4500,543,0,0,0.00,0
2894532,143,139,161,318,418,936,3060,3027,4500,525,0,0,0.00,0
2982422,136,133,154,307,408,911,3016,2997,4500,522,0,0,0.00,0
3069336,138,135,155,303,407,910,3016,3001,4500,567,0,0,0.00,0
3157227,140,136,155,305,410,910,3025,3027,4500,536,0,0,0.00,0
3245117,141,137,157,306,402,900,2998,2988,4500,514,0,0,0.00,0
3333008,136,132,152,300,404,903,3003,2993,4500,521,0,0,0.00,0
3420899,138,135,155,303,409,908,3010,2997,4500,529,0,0,0.00,0
3508789,139,136,156,305,412,911,3029,3031,4500,576,0,0,0.00,0
3601563,137,133,154,305,410,914,3026,3008,4500,527,0,0,0.00,0
3689453,139,134,156,307,416,920,3037,3032,4500,574,0,0,0.00,0
3773438,143,139,159,311,415,920,3046,3043,4500,554,0,0,0.00,0
3861328,142,138,159,312,416,926,3045,3022,4500,524,0,0,0.00,0
3948242,138,133,154,308,410,910,3017,3020,4500,564,0,0,0.00,0
4030274,137,134,154,301,402,894,2983,2982,4500,520,0,0,0.00,0
4118164,136,132,152,299,402,895,2998,3010,4500,563,0,0,0.00,0
4206055,139,135,155,301,401,891,2978,2976,4500,525,0,0,0.00,0
